job_seed,job_model,job_scheme_types,"backend","model","type","n_rounds","time","lognorm","relnorm","scheme","T"
876,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,5,0.073902246,-781.1495040280067,2.3408075390490453,"SAIS{...}(5, 0.0:1.0:1.0)",32
876,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,6,0.134990341,-780.9444659489603,2.8735093448498703,"SAIS{...}(6, 0.0:1.0:1.0)",64
876,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,7,0.257236889,-781.6967989610628,1.3541866813295025,"SAIS{...}(7, 0.0:1.0:1.0)",128
876,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,8,0.511501467,-782.1688603122491,0.8446268791750744,"SAIS{...}(8, 0.0:1.0:1.0)",256
624,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,3,8.043728884,-780.9286390712829,2.919349824711516,"SAIS{...}(3, 0.0:1.0:1.0)",8
624,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,4,17.44859461,-780.4964830463447,4.497478712540812,"SAIS{...}(4, 0.0:1.0:1.0)",16
624,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,5,35.006422494,-781.3559278749897,1.9042193318047764,"SAIS{...}(5, 0.0:1.0:1.0)",32
624,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,6,70.81713916,-781.2953858649439,2.0230659040824532,"SAIS{...}(6, 0.0:1.0:1.0)",64
624,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,7,142.357807514,-781.5898685740643,1.507015833064186,"SAIS{...}(7, 0.0:1.0:1.0)",128
624,SimpleMixture,SAIS,CPU,"SimpleMixture",SAIS,8,285.951132728,-781.8938807478813,1.1119544715268537,"SAIS{...}(8, 0.0:1.0:1.0)",256
624,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,3,0.03692878,-780.92863877015,2.919350703823927,"SAIS{...}(3, 0.0:1.0:1.0)",8
624,SimpleMixture,SAIS,GPU,"SimpleMixture",SAIS,4,0.048414167,-780.4964940122051,4.497429394087584,"SAIS{...}(4, 0.0:1.0:1.0)",16
