time;lognorm;type;scheme;T;backend
1.089385665;-48.142994517968006;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.083469358;-23.20018682783292;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.084910608;-50.27861365658399;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.084098018;-43.561100756553145;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
2.207700607;-26.317286365821815;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.203720999;-35.1235871104103;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.494910228;-23.820140958923197;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.203520112;-24.509452783817935;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.260587991;-25.843363772520725;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.190215092;-22.824716644953035;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.457721826;-23.45149485533287;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.243570671;-31.709161107778797;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.204481698;-28.025929254175132;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
2.450621608;-25.686367049682282;SAIS;SAIS{...}(7, 0.0:1.0:1.0);128;CPU
4.753015811;-24.597904165812473;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.704596068;-25.900629236165543;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.46568186;-23.818536800008033;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.969807568;-23.9586798674461;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.71957252;-26.309343772008297;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.50587832;-23.60577056254008;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
5.014808296;-23.387078871271875;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.701327854;-24.184187606495218;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.455320186;-26.290361517801138;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
4.99714477;-23.974993760546006;SAIS;SAIS{...}(8, 0.0:1.0:1.0);256;CPU
0.115013717;-225.22383795093023;FixedSchedule;FixedSchedule(8);8;CPU
0.114933316;-28.869849388981635;FixedSchedule;FixedSchedule(8);8;CPU
0.115043605;-259.76800833056893;FixedSchedule;FixedSchedule(8);8;CPU
0.114855093;-43.79653463672123;FixedSchedule;FixedSchedule(8);8;CPU
0.115019619;-178.91591940234622;FixedSchedule;FixedSchedule(8);8;CPU
